player_name,country,year,current_position,suggested_position,source,confidence,reason,notes
Phillip Matthews,Ireland,1987,TBC,,,,No trusted structured position source found,
Phillip Matthews,Ireland,1991,TBC,,,,No trusted structured position source found,
Trevor Ringland,Ireland,1987,TBC,,,,No trusted structured position source found,
Dai Young,Wales,1987,TBC,,,,No trusted structured position source found,
Dai Young,Wales,1999,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1987,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1991,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1995,TBC,,,,No trusted structured position source found,
Adrian Hadley,Wales,1987,TBC,,,,No trusted structured position source found,
Anthony Buchanan,Wales,1987,TBC,,,,No trusted structured position source found,
Bleddyn Bowen,Wales,1987,TBC,,,,No trusted structured position source found,
Glen Webbe,Wales,1987,TBC,,,,No trusted structured position source found,
Jeff Whitefoot,Wales,1987,TBC,,,,No trusted structured position source found,
John Devereux,Wales,1987,TBC,,,,No trusted structured position source found,
John Rawlins,Wales,1987,TBC,,,,No trusted structured position source found,
Kevin Hopkins,Wales,1987,TBC,,,,No trusted structured position source found,
Mark Ring,Wales,1987,TBC,,,,No trusted structured position source found,
Mark Ring,Wales,1991,TBC,,,,No trusted structured position source found,
Mark Titley,Wales,1987,TBC,,,,No trusted structured position source found,
Richard Webster,Wales,1987,TBC,,,,No trusted structured position source found,
Richard Webster,Wales,1991,TBC,,,,No trusted structured position source found,
Richie Collins,Wales,1987,TBC,,,,No trusted structured position source found,
Richie Collins,Wales,1991,TBC,,,,No trusted structured position source found,
Steve Blackmore,Wales,1987,TBC,,,,No trusted structured position source found,
Stuart Evans,Wales,1987,TBC,,,,No trusted structured position source found,
Alan Tait,Scotland,1987,TBC,,,,No trusted structured position source found,
Alan Tait,Scotland,1999,TBC,,,,No trusted structured position source found,
Scott Hastings,Scotland,1987,TBC,,,,No trusted structured position source found,
Scott Hastings,Scotland,1991,TBC,,,,No trusted structured position source found,
Scott Hastings,Scotland,1995,TBC,,,,No trusted structured position source found,
Alex Brewster,Scotland,1987,TBC,,,,No trusted structured position source found,
David Sole,Scotland,1987,TBC,,,,No trusted structured position source found,
David Sole,Scotland,1991,TBC,,,,No trusted structured position source found,
Derek Turnbull,Scotland,1987,TBC,,,,No trusted structured position source found,
Douglas Wyllie,Scotland,1987,TBC,,,,No trusted structured position source found,
Douglas Wyllie,Scotland,1991,TBC,,,,No trusted structured position source found,
Finlay Calder,Scotland,1987,TBC,,,,No trusted structured position source found,
Finlay Calder,Scotland,1991,TBC,,,,No trusted structured position source found,
Iain Milne,Scotland,1987,TBC,,,,No trusted structured position source found,
Iwan Tukalo,Scotland,1987,TBC,,,,No trusted structured position source found,
Iwan Tukalo,Scotland,1991,TBC,,,,No trusted structured position source found,
John Jeffrey,Scotland,1987,TBC,,,,No trusted structured position source found,
John Jeffrey,Scotland,1991,TBC,,,,No trusted structured position source found,
Keith Robertson,Scotland,1987,TBC,,,,No trusted structured position source found,
Matt Duncan,Scotland,1987,TBC,,,,No trusted structured position source found,
Norrie Rowan,Scotland,1987,TBC,,,,No trusted structured position source found,
Diego Cuesta Silva,Argentina,1987,TBC,,,,No trusted structured position source found,
Diego Cuesta Silva,Argentina,1991,TBC,,,,No trusted structured position source found,
Diego Cuesta Silva,Argentina,1995,TBC,,,,No trusted structured position source found,
Alejandro Schiavio,Argentina,1987,TBC,,,,No trusted structured position source found,
Diego Cash,Argentina,1987,TBC,,,,No trusted structured position source found,
Diego Cash,Argentina,1991,TBC,,,,No trusted structured position source found,
Fabián Turnes,Argentina,1987,TBC,,,,No trusted structured position source found,
Fernando Morel,Argentina,1987,TBC,,,,No trusted structured position source found,
Hugo Torres,Argentina,1987,TBC,,,,No trusted structured position source found,
Jorge Allen,Argentina,1987,TBC,,,,No trusted structured position source found,
José Mostany,Argentina,1987,TBC,,,,No trusted structured position source found,
Juan Lanza,Argentina,1987,TBC,,,,No trusted structured position source found,
Luis Molina,Argentina,1987,TBC,,,,No trusted structured position source found,
Luis Molina,Argentina,1991,TBC,,,,No trusted structured position source found,
Marcelo Campo,Argentina,1987,TBC,,,,No trusted structured position source found,
Pedro Lanza,Argentina,1987,TBC,,,,No trusted structured position source found,
Rafael Madero,Argentina,1987,TBC,,,,No trusted structured position source found,
Apisai Nagata,Fiji,1987,TBC,,,,No trusted structured position source found,
Epineri Naituku,Fiji,1987,TBC,,,,No trusted structured position source found,
Jimi Damu,Fiji,1987,TBC,,,,No trusted structured position source found,
Kaiava Salusalu,Fiji,1987,TBC,,,,No trusted structured position source found,
Kavekini Nalaga,Fiji,1987,TBC,,,,No trusted structured position source found,
Livai Kididromo,Fiji,1987,TBC,,,,No trusted structured position source found,
Manasa Qoro,Fiji,1987,TBC,,,,No trusted structured position source found,
Peni Volavola,Fiji,1987,TBC,,,,No trusted structured position source found,
Peni Volavola,Fiji,1991,TBC,,,,No trusted structured position source found,
Sairusi Naituku,Fiji,1987,TBC,,,,No trusted structured position source found,
Samuela Vunivalu,Fiji,1987,TBC,,,,No trusted structured position source found,
Serupepeli Tuvula,Fiji,1987,TBC,,,,No trusted structured position source found,
Sirilo Lovokuro,Fiji,1987,TBC,,,,No trusted structured position source found,
Tom Mitchell,Fiji,1987,TBC,,,,No trusted structured position source found,
Tomasi Cama,Fiji,1987,TBC,,,,No trusted structured position source found,
Eiji Kutsuki,Japan,1987,TBC,,,,No trusted structured position source found,
Eiji Kutsuki,Japan,1991,TBC,,,,No trusted structured position source found,
Katsufumi Miyamoto,Japan,1987,TBC,,,,No trusted structured position source found,
Katsufumi Miyamoto,Japan,1991,TBC,,,,No trusted structured position source found,
Koji Horaguchi,Japan,1987,TBC,,,,No trusted structured position source found,
Koji Yasumi,Japan,1987,TBC,,,,No trusted structured position source found,
Kojiro Yoshinaga,Japan,1987,TBC,,,,No trusted structured position source found,
Masaharu Aizawa,Japan,1987,TBC,,,,No trusted structured position source found,
Minoru Okidoi,Japan,1987,TBC,,,,No trusted structured position source found,
Nofomuli Taumoefolau,Japan,1987,TBC,,,,No trusted structured position source found,
Shinji Onuki,Japan,1987,TBC,,,,No trusted structured position source found,
Toshiro Yoshino,Japan,1987,TBC,,,,No trusted structured position source found,
Toshitaka Kimura,Japan,1987,TBC,,,,No trusted structured position source found,
Yasuharu Kawase,Japan,1987,TBC,,,,No trusted structured position source found,
Marcello Cuttitta,Italy,1987,TBC,,,,No trusted structured position source found,
Marcello Cuttitta,Italy,1991,TBC,,,,No trusted structured position source found,
Marcello Cuttitta,Italy,1995,TBC,,,,No trusted structured position source found,
Fabio Gaetaniello,Italy,1987,TBC,,,,No trusted structured position source found,
Fabio Gaetaniello,Italy,1991,TBC,,,,No trusted structured position source found,
Giancarlo Cucchiella,Italy,1987,TBC,,,,No trusted structured position source found,
Gianni Zanon,Italy,1987,TBC,,,,No trusted structured position source found,
Gianni Zanon,Italy,1991,TBC,,,,No trusted structured position source found,
Giuseppe Artuso,Italy,1987,TBC,,,,No trusted structured position source found,
Guido Rossi,Italy,1987,TBC,,,,No trusted structured position source found,
Guido Rossi,Italy,1991,TBC,,,,No trusted structured position source found,
Mario Pavin,Italy,1987,TBC,,,,No trusted structured position source found,
Massimo Mascioletti,Italy,1987,TBC,,,,No trusted structured position source found,
Piergianni Farina,Italy,1987,TBC,,,,No trusted structured position source found,
Raffaele Dolfato,Italy,1987,TBC,,,,No trusted structured position source found,
Sergio Zorzi,Italy,1987,TBC,,,,No trusted structured position source found,
Stefano Barba,Italy,1987,TBC,,,,No trusted structured position source found,
Stefano Barba,Italy,1991,TBC,,,,No trusted structured position source found,
Stefano Romagnoli,Italy,1987,TBC,,,,No trusted structured position source found,
Tito Lupini,Italy,1987,TBC,,,,No trusted structured position source found,
Alamoni Liavaʻa,Tonga,1987,TBC,,,,No trusted structured position source found,
Asa Amone,Tonga,1987,TBC,,,,No trusted structured position source found,
Fakahau Valu,Tonga,1987,TBC,,,,No trusted structured position source found,
Hakatoa Tupou,Tonga,1987,TBC,,,,No trusted structured position source found,
Latu Vaʻeno,Tonga,1987,TBC,,,,No trusted structured position source found,
Quddus Fielea,Tonga,1987,TBC,,,,No trusted structured position source found,
Samiu Mohi,Tonga,1987,TBC,,,,No trusted structured position source found,
Soakai Motuʻapuaka,Tonga,1987,TBC,,,,No trusted structured position source found,
Soane Asi,Tonga,1987,TBC,,,,No trusted structured position source found,
Taipaleti Tuʻuta,Tonga,1987,TBC,,,,No trusted structured position source found,
Takai Makisi,Tonga,1987,TBC,,,,No trusted structured position source found,
Talanoa Kitekeiʻaho,Tonga,1987,TBC,,,,No trusted structured position source found,
Viliami Lutua,Tonga,1987,TBC,,,,No trusted structured position source found,
Blane Warhurst,USA,1987,TBC,,,,No trusted structured position source found,
Butch Horwath,USA,1987,TBC,,,,No trusted structured position source found,
Denis Shanagher,USA,1987,TBC,,,,No trusted structured position source found,
Fred Paoli,USA,1987,TBC,,,,No trusted structured position source found,
Fred Paoli,USA,1991,TBC,,,,No trusted structured position source found,
Gary Hein,USA,1987,TBC,,,,No trusted structured position source found,
Gary Hein,USA,1991,TBC,,,,No trusted structured position source found,
Gary Lambert,USA,1987,TBC,,,,No trusted structured position source found,
Kevin Higgins,USA,1987,TBC,,,,No trusted structured position source found,
Kevin Higgins,USA,1991,TBC,,,,No trusted structured position source found,
Mike Purcell,USA,1987,TBC,,,,No trusted structured position source found,
Neal Brendel,USA,1987,TBC,,,,No trusted structured position source found,
Rick Bailey,USA,1987,TBC,,,,No trusted structured position source found,
Roy Helu,USA,1987,TBC,,,,No trusted structured position source found,
Steve Finkel,USA,1987,TBC,,,,No trusted structured position source found,
Tommy Vinick,USA,1987,TBC,,,,No trusted structured position source found,
Eddie Evans,Canada,1987,TBC,,,,No trusted structured position source found,
Eddie Evans,Canada,1991,TBC,,,,No trusted structured position source found,
