year,country,player_name,position,secondary_positions,captain,source_url
1999,Argentina,Agustín Canalda,HK,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Agustín Pichot,SH,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Alejandro Allub,LK4,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Diego Albanese,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Eduardo Simone,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Felipe Contepomi,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Fernando Díaz Alberdi,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Gonzalo Camardón,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Gonzalo Longo,N8,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Gonzalo Quesada,FH,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Ignacio Corleto,FB,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Ignacio Fernández Lobbe,LK4,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,José Cilley,FH,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,José Orengo,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Juan Fernández Miranda,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Lisandro Arbizu,TBC,,true,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
1999,Argentina,Lucas Ostiglia,TBC,,false,https://en.wikipedia.org/wiki/1999_Rugby_World_Cup_squads
