year,country,player_name,position,secondary_positions,captain,source_url
1995,Argentina,Agustín Macome,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Agustín Pichot,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Cristián Viel,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Diego Albanese,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Diego Cuesta Silva,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Ezequiel Jurado,FB,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Federico Méndez,HK,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Fernando del Castillo,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Francisco García,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Germán Llanes,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Gonzalo Camardón,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Guillermo del Castillo,FH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,José Cilley,FH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,José Santamarina,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Lisandro Arbizu,FH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Marcelo Urbano,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Martín Sugasti,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Martín Terán,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Matias Corral,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Nicolás Bossicovich,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Pablo Buabse,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Patricio Noriega,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Pedro Sporleder,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Ricardo Le Fort,HK,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Roberto Diego Grau,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Rodrigo Crexell,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Rolando Martín,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Santiago Mesón,FB,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Sebastián Irazoqui,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Argentina,Sebastián Salvat,FB,,true,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Damian Smith,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Dan Crowley,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Daniel Herbert,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Daniel Manu,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,David Campese,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,David Wilson,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Ewen McKenzie,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,George Gregan,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Ilivasi Tabua,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Jason Little,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Joe Roff,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,John Eales,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Mark Hartill,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Matt Burke,FB,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Matt Pini,FB,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Michael Foley,HK,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Michael Lynagh,FH,,true,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Peter Slattery,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Phil Kearns,HK,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Rod McCall,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Scott Bowen,FH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Tim Gavin,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Tim Horan,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Tony Daly,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Troy Coker,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Viliami Ofahengaue,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Australia,Warwick Waugh,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Al Charron,LK4,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Alan Tynan,SH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Bobby Ross,FH,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Chris Michaluk,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Christian Stewart,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Colin McKenzie,N8,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,David Lougheed,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
1995,Canada,Eddie Evans,TBC,,false,https://en.wikipedia.org/wiki/1995_Rugby_World_Cup_squads
