year,country,player_name,position,secondary_positions,captain,source_url
2011,Argentina,Agustin Gosio,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Agustín Creevy,HK,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Alejandro Campos,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Alfredo Lalanne,SH,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Felipe Contepomi,TBC,,true,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Genaro Fessia,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Gonzalo Camacho,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Horacio Agulla,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Juan Figallo,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Juan Imhoff,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Juan Manuel Leguizamón,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Juan Martín Fernández Lobbe,N8,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Julio Farías Cabello,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Leonardo Senatore,N8,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Lucas Borges,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Lucas González Amorosino,FB,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Manuel Carizza,LK4,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Marcelo Bosch,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Marcos Ayerza,TBC,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Mariano Galarza,LK4,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Mario Ledesma,HK,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
2011,Argentina,Martín Rodríguez,FB,,false,https://en.wikipedia.org/wiki/2011_Rugby_World_Cup_squads
